eid,block,performance,contrasts,n_contrasts
1e762b80-9eaf-4c26-8a90-dcb3c28ccd3e,0.5,"[0.0, 0.36363636363636365, 0.0, 0.16666666666666666, 0.10526315789473684, 0.125, 0.4, 0.6363636363636364, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[3, 11, 4, 18, 19, 8, 10, 11, 6]"
1e762b80-9eaf-4c26-8a90-dcb3c28ccd3e,0.2,"[0.3125, 0.3333333333333333, 0.5454545454545454, 0.5, 0.5084745762711864, 0.5135135135135135, 0.5348837209302325, 0.9302325581395349, 0.9411764705882353]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[16, 9, 11, 8, 59, 37, 43, 43, 34]"
1e762b80-9eaf-4c26-8a90-dcb3c28ccd3e,0.8,"[0.175, 0.14285714285714285, 0.3333333333333333, 0.3076923076923077, 0.2, 0.2, 0.23076923076923078, 0.5384615384615384, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[40, 56, 36, 39, 40, 10, 13, 13, 14]"
5960c8a4-8491-4e54-a06c-5a3a7712510e,0.5,"[0.0, 0.2, 0.3, 0.6363636363636364, 0.5294117647058824, 0.5714285714285714, 0.8333333333333334, 0.9, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[7, 10, 10, 11, 17, 7, 6, 10, 12]"
5960c8a4-8491-4e54-a06c-5a3a7712510e,0.2,"[0.0, 0.07142857142857142, 0.2857142857142857, 0.26666666666666666, 0.6666666666666666, 0.8217821782178217, 0.8181818181818182, 0.9647058823529412, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[27, 28, 21, 15, 114, 101, 88, 85, 90]"
5960c8a4-8491-4e54-a06c-5a3a7712510e,0.8,"[0.0, 0.012345679012345678, 0.05263157894736842, 0.1111111111111111, 0.17525773195876287, 0.2, 0.6111111111111112, 0.8181818181818182, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[87, 81, 76, 81, 97, 10, 18, 22, 14]"
67f31ddc-853c-4aec-90d5-311774be0415,0.5,"[0.14285714285714285, 0.0, 0.1, 0.4444444444444444, 0.8095238095238095, 0.8181818181818182, 0.9166666666666666, 0.8, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[7, 7, 10, 9, 21, 11, 12, 10, 3]"
67f31ddc-853c-4aec-90d5-311774be0415,0.2,"[0.0, 0.07692307692307693, 0.125, 0.25, 0.8148148148148148, 0.8113207547169812, 0.8627450980392157, 0.9354838709677419, 0.9821428571428571]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[14, 13, 8, 8, 54, 53, 51, 31, 56]"
67f31ddc-853c-4aec-90d5-311774be0415,0.8,"[0.024390243902439025, 0.046511627906976744, 0.06521739130434782, 0.21052631578947367, 0.5208333333333334, 0.7272727272727273, 1.0, 0.75, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[41, 43, 46, 38, 48, 11, 6, 8, 9]"
d66e88d2-6c41-44d3-b0fc-d69b33a3ab8b,0.5,"[0.0, 0.2222222222222222, 0.4117647058823529, 0.375, 0.2857142857142857, 0.375, 1.0, 0.7058823529411765, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[5, 9, 17, 8, 14, 8, 4, 17, 8]"
d66e88d2-6c41-44d3-b0fc-d69b33a3ab8b,0.2,"[0.0, 0.0, 0.25, 0.0, 0.15384615384615385, 0.16666666666666666, 0.2777777777777778, 0.0, 0.35294117647058826]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[4, 3, 8, 9, 26, 18, 18, 17, 17]"
d66e88d2-6c41-44d3-b0fc-d69b33a3ab8b,0.8,"[0.16666666666666666, 0.0, 0.18181818181818182, 0.0, 0.058823529411764705, 0.0, 0.0, 0.6666666666666666, 0.75]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[6, 9, 11, 6, 17, 2, 1, 3, 4]"
11f14e9e-5273-4e44-b99c-dccd7ec25c76,0.5,"[0.1111111111111111, 0.0, 0.2, 0.09090909090909091, 0.36363636363636365, 0.3333333333333333, 0.5333333333333333, 0.45454545454545453, 0.2727272727272727]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[9, 11, 5, 11, 11, 6, 15, 11, 11]"
11f14e9e-5273-4e44-b99c-dccd7ec25c76,0.2,"[0.5555555555555556, 0.3333333333333333, 0.46153846153846156, 0.6923076923076923, 0.7934782608695652, 0.8414634146341463, 0.8243243243243243, 0.88, 0.8939393939393939]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[9, 15, 13, 13, 92, 82, 74, 75, 66]"
11f14e9e-5273-4e44-b99c-dccd7ec25c76,0.8,"[0.1095890410958904, 0.26373626373626374, 0.4634146341463415, 0.5975609756097561, 0.7835051546391752, 0.8, 0.8695652173913043, 0.8, 0.8928571428571429]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[73, 91, 82, 82, 97, 20, 23, 25, 28]"
a3a14365-d16d-4257-8910-0e578d24fbac,0.5,"[0.0, 0.0, 0.0, 0.36363636363636365, 0.3333333333333333, 0.4, 0.6666666666666666, 1.0, 0.8571428571428571]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[8, 5, 7, 11, 27, 10, 9, 6, 7]"
a3a14365-d16d-4257-8910-0e578d24fbac,0.2,"[0.07692307692307693, 0.06666666666666667, 0.1, 0.4375, 0.6923076923076923, 0.7916666666666666, 0.8813559322033898, 0.8909090909090909, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[13, 15, 10, 16, 52, 48, 59, 55, 50]"
a3a14365-d16d-4257-8910-0e578d24fbac,0.8,"[0.0, 0.0, 0.037037037037037035, 0.14285714285714285, 0.13725490196078433, 0.1111111111111111, 0.36363636363636365, 0.5, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[56, 41, 54, 49, 51, 9, 11, 8, 15]"
955772fb-c032-44bf-a925-28765e2b90ed,0.5,"[0.0, 0.0, 0.0, 0.16666666666666666, 0.10714285714285714, 0.2, 0.16666666666666666, 0.2, 0.5]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[7, 9, 14, 6, 28, 5, 6, 5, 10]"
955772fb-c032-44bf-a925-28765e2b90ed,0.2,"[0.29411764705882354, 0.8, 0.6, 0.6363636363636364, 0.515625, 0.7076923076923077, 0.627906976744186, 0.8409090909090909, 0.7962962962962963]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[17, 5, 10, 11, 64, 65, 43, 44, 54]"
955772fb-c032-44bf-a925-28765e2b90ed,0.8,"[0.15789473684210525, 0.1282051282051282, 0.29411764705882354, 0.2903225806451613, 0.2857142857142857, 0.42857142857142855, 0.25, 0.6363636363636364, 0.8181818181818182]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[38, 39, 34, 31, 63, 7, 12, 11, 11]"
e2cfc7b7-34ab-4454-ab77-f99662689256,0.5,"[0.46153846153846156, 0.25, 0.1111111111111111, 0.25, 0.13043478260869565, 0.2857142857142857, 0.1111111111111111, 0.7777777777777778, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[13, 8, 9, 8, 23, 7, 9, 9, 4]"
e2cfc7b7-34ab-4454-ab77-f99662689256,0.2,"[0.0, 0.14285714285714285, 0.4, 0.4, 0.4090909090909091, 0.21621621621621623, 0.5161290322580645, 0.7307692307692307, 0.9534883720930233]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[2, 7, 15, 5, 44, 37, 31, 26, 43]"
e2cfc7b7-34ab-4454-ab77-f99662689256,0.8,"[0.25862068965517243, 0.34285714285714286, 0.3469387755102041, 0.3448275862068966, 0.35802469135802467, 0.2857142857142857, 0.5, 0.4, 0.7647058823529411]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[58, 70, 49, 58, 81, 14, 18, 15, 17]"
b7d87014-85d7-4611-a999-c90d38f55984,0.5,"[0.06666666666666667, 0.25, 0.0, 0.2, 0.5416666666666666, 0.75, 1.0, 1.0, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[15, 4, 7, 5, 24, 8, 8, 9, 10]"
b7d87014-85d7-4611-a999-c90d38f55984,0.2,"[0.0, 0.13333333333333333, 0.55, 0.72, 0.7272727272727273, 0.8142857142857143, 0.9014084507042254, 0.9770114942528736, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[27, 15, 20, 25, 88, 70, 71, 87, 73]"
b7d87014-85d7-4611-a999-c90d38f55984,0.8,"[0.0, 0.015151515151515152, 0.08955223880597014, 0.3220338983050847, 0.36904761904761907, 0.5555555555555556, 0.8, 1.0, 0.9411764705882353]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[61, 66, 67, 59, 84, 9, 10, 14, 17]"
a5805bd0-7789-440c-a669-41e4e8f6b48d,0.5,"[0.0, 0.0, 0.09090909090909091, 0.1, 0.7894736842105263, 1.0, 1.0, 0.7777777777777778, 0.9]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[7, 4, 11, 10, 19, 15, 5, 9, 10]"
a5805bd0-7789-440c-a669-41e4e8f6b48d,0.2,"[0.0, 0.0, 0.08695652173913043, 0.3125, 0.78, 0.8082191780821918, 0.9583333333333334, 0.9692307692307692, 0.9857142857142858]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[16, 20, 23, 16, 100, 73, 72, 65, 70]"
a5805bd0-7789-440c-a669-41e4e8f6b48d,0.8,"[0.018518518518518517, 0.01818181818181818, 0.03636363636363636, 0.07407407407407407, 0.532258064516129, 0.95, 0.8571428571428571, 1.0, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[54, 55, 55, 54, 62, 20, 14, 12, 10]"
045e81c9-594d-4e1e-ac71-608a1bb34a00,0.5,"[0.0, 0.3333333333333333, 0.3333333333333333, 0.5, 0.7368421052631579, 0.7692307692307693, 0.75, 0.8571428571428571, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[10, 9, 9, 6, 19, 13, 8, 7, 9]"
045e81c9-594d-4e1e-ac71-608a1bb34a00,0.2,"[0.0, 0.18181818181818182, 0.3333333333333333, 0.5384615384615384, 0.6901408450704225, 0.7049180327868853, 0.7307692307692307, 0.7894736842105263, 0.9069767441860465]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[17, 11, 15, 13, 71, 61, 52, 38, 43]"
045e81c9-594d-4e1e-ac71-608a1bb34a00,0.8,"[0.0, 0.027777777777777776, 0.15384615384615385, 0.25675675675675674, 0.44047619047619047, 0.4444444444444444, 0.6363636363636364, 0.7692307692307693, 0.9090909090909091]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[69, 72, 52, 74, 84, 18, 11, 13, 22]"
27f3dd61-2a70-4818-bd91-8f62d142c47d,0.5,"[0.1, 0.0, 0.0, 0.45454545454545453, 0.4, 0.5, 0.75, 1.0, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[10, 7, 6, 11, 20, 8, 12, 9, 7]"
27f3dd61-2a70-4818-bd91-8f62d142c47d,0.2,"[0.0, 0.0, 0.14285714285714285, 0.1875, 0.5368421052631579, 0.6153846153846154, 0.7959183673469388, 0.9156626506024096, 0.975609756097561]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[20, 22, 28, 16, 95, 78, 98, 83, 82]"
27f3dd61-2a70-4818-bd91-8f62d142c47d,0.8,"[0.0, 0.019801980198019802, 0.037037037037037035, 0.09473684210526316, 0.15, 0.08108108108108109, 0.1875, 0.35714285714285715, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[82, 101, 108, 95, 120, 37, 32, 14, 26]"
640495e1-b95a-49fd-b843-fab1f1b3aee4,0.5,"[0.0, 0.14285714285714285, 0.25, 0.6, 0.24, 0.1111111111111111, 0.4, 0.5714285714285714, 0.6666666666666666]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[8, 7, 16, 5, 25, 9, 10, 7, 3]"
640495e1-b95a-49fd-b843-fab1f1b3aee4,0.2,"[0.0, 0.16666666666666666, 0.16666666666666666, 0.25, 0.41818181818181815, 0.3137254901960784, 0.5396825396825397, 0.6724137931034483, 0.803921568627451]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[15, 18, 12, 8, 55, 51, 63, 58, 51]"
640495e1-b95a-49fd-b843-fab1f1b3aee4,0.8,"[0.025974025974025976, 0.015625, 0.031746031746031744, 0.125, 0.04597701149425287, 0.08333333333333333, 0.1875, 0.3076923076923077, 0.16666666666666666]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[77, 64, 63, 64, 87, 12, 16, 13, 18]"
8be8190e-e733-4772-8285-ea76021ae04d,0.5,"[0.3, 0.5, 0.4444444444444444, 0.7142857142857143, 0.4090909090909091, 0.5555555555555556, 0.6363636363636364, 0.75, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[10, 6, 9, 7, 22, 9, 11, 8, 8]"
8be8190e-e733-4772-8285-ea76021ae04d,0.2,"[0.3333333333333333, 0.2727272727272727, 0.5, 0.6666666666666666, 0.375, 0.52, 0.5333333333333333, 0.7391304347826086, 0.96]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[12, 11, 4, 3, 32, 25, 15, 23, 25]"
8be8190e-e733-4772-8285-ea76021ae04d,0.8,"[0.2, 0.22857142857142856, 0.21428571428571427, 0.1935483870967742, 0.30303030303030304, 0.42857142857142855, 0.5, 1.0, 0.9166666666666666]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[40, 35, 28, 31, 33, 7, 4, 6, 12]"
a1d9bfd3-5c71-4db3-8db2-ea273ee5e52b,0.5,"[0.0, 0.0625, 0.2, 0.3333333333333333, 0.5625, 0.42857142857142855, 1.0, 1.0, 0.9]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[11, 16, 10, 3, 16, 7, 10, 7, 10]"
a1d9bfd3-5c71-4db3-8db2-ea273ee5e52b,0.2,"[0.0, 0.13636363636363635, 0.23529411764705882, 0.2727272727272727, 0.5066666666666667, 0.5238095238095238, 0.8103448275862069, 0.8307692307692308, 0.9259259259259259]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[7, 22, 17, 11, 75, 63, 58, 65, 54]"
a1d9bfd3-5c71-4db3-8db2-ea273ee5e52b,0.8,"[0.0, 0.0, 0.012195121951219513, 0.1016949152542373, 0.14457831325301204, 0.3, 0.6, 0.7083333333333334, 0.9230769230769231]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[87, 65, 82, 59, 83, 10, 15, 24, 13]"
079eafaf-a052-4c19-9cb7-00e55a375f1c,0.5,"[0.0, 0.14285714285714285, 0.08333333333333333, 0.25, 0.6, 0.6666666666666666, 0.5, 0.8, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[8, 14, 12, 12, 15, 9, 6, 5, 9]"
079eafaf-a052-4c19-9cb7-00e55a375f1c,0.2,"[0.0, 0.11764705882352941, 0.11764705882352941, 0.5333333333333333, 0.6527777777777778, 0.7846153846153846, 0.9295774647887324, 0.9285714285714286, 0.9863013698630136]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[14, 17, 17, 15, 72, 65, 71, 70, 73]"
079eafaf-a052-4c19-9cb7-00e55a375f1c,0.8,"[0.0, 0.03614457831325301, 0.06451612903225806, 0.31746031746031744, 0.5675675675675675, 0.6666666666666666, 0.85, 1.0, 0.8666666666666667]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[59, 83, 62, 63, 74, 18, 20, 17, 15]"
aca57e3d-4a2c-4521-abf7-922979874371,0.5,"[0.0, 0.0, 0.125, 0.75, 0.5714285714285714, 0.75, 0.875, 0.9166666666666666, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[6, 12, 8, 12, 14, 12, 8, 12, 6]"
aca57e3d-4a2c-4521-abf7-922979874371,0.2,"[0.05555555555555555, 0.041666666666666664, 0.1, 0.45, 0.5844155844155844, 0.6438356164383562, 0.8405797101449275, 0.9487179487179487, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[18, 24, 10, 20, 77, 73, 69, 78, 62]"
aca57e3d-4a2c-4521-abf7-922979874371,0.8,"[0.020202020202020204, 0.020618556701030927, 0.0970873786407767, 0.17045454545454544, 0.2845528455284553, 0.38461538461538464, 0.6666666666666666, 0.7058823529411765, 0.95]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[99, 97, 103, 88, 123, 13, 15, 17, 20]"
d2115397-39da-4a59-9762-40cf000e89e1,0.5,"[0.125, 0.25, 0.75, 0.6666666666666666, 0.5294117647058824, 0.5714285714285714, 0.6666666666666666, 0.6666666666666666, 0.9]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[8, 12, 12, 9, 17, 7, 6, 9, 10]"
d2115397-39da-4a59-9762-40cf000e89e1,0.2,"[0.0, 0.3, 0.3, 0.56, 0.4198473282442748, 0.5081967213114754, 0.6868686868686869, 0.75, 0.8058252427184466]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[11, 30, 30, 25, 131, 122, 99, 104, 103]"
d2115397-39da-4a59-9762-40cf000e89e1,0.8,"[0.03571428571428571, 0.1044776119402985, 0.08064516129032258, 0.15714285714285714, 0.20987654320987653, 0.1875, 0.3181818181818182, 0.2857142857142857, 0.6470588235294118]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[56, 67, 62, 70, 81, 16, 22, 14, 17]"
6b9fc793-ed50-4d33-af90-8472ab472b65,0.5,"[0.14285714285714285, 0.125, 0.0, 0.0, 0.125, 0.1111111111111111, 0.6666666666666666, 0.8181818181818182, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[7, 8, 14, 8, 16, 9, 12, 11, 5]"
6b9fc793-ed50-4d33-af90-8472ab472b65,0.2,"[0.05555555555555555, 0.07142857142857142, 0.21739130434782608, 0.25, 0.3333333333333333, 0.4430379746835443, 0.7631578947368421, 0.9545454545454546, 0.9836065573770492]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[18, 14, 23, 24, 78, 79, 76, 88, 61]"
6b9fc793-ed50-4d33-af90-8472ab472b65,0.8,"[0.10909090909090909, 0.06896551724137931, 0.09433962264150944, 0.1206896551724138, 0.17105263157894737, 0.1, 0.7619047619047619, 0.9230769230769231, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[55, 58, 53, 58, 76, 20, 21, 13, 10]"
5fe528ad-f6a3-4f1b-a73b-9b3d1bd575ce,0.5,"[0.0, 0.0, 0.2, 0.42857142857142855, 0.5238095238095238, 0.75, 1.0, 1.0, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[13, 11, 10, 7, 21, 4, 4, 8, 12]"
5fe528ad-f6a3-4f1b-a73b-9b3d1bd575ce,0.2,"[0.14285714285714285, 0.14285714285714285, 0.0, 0.5, 0.746031746031746, 0.7727272727272727, 0.9183673469387755, 0.9433962264150944, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[14, 14, 11, 10, 63, 66, 49, 53, 52]"
5fe528ad-f6a3-4f1b-a73b-9b3d1bd575ce,0.8,"[0.022222222222222223, 0.023255813953488372, 0.08928571428571429, 0.25, 0.28125, 0.3, 0.7692307692307693, 0.9230769230769231, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[45, 43, 56, 52, 64, 10, 13, 13, 13]"
d9dcca50-0661-478d-845c-521f8b4237fa,0.5,"[0.07692307692307693, 0.09090909090909091, 0.2222222222222222, 0.6, 0.375, 0.5, 0.5, 0.9, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[13, 11, 9, 5, 16, 8, 8, 10, 10]"
d9dcca50-0661-478d-845c-521f8b4237fa,0.2,"[0.0, 0.0, 0.1875, 0.5625, 0.7232142857142857, 0.6621621621621622, 0.8059701492537313, 0.8051948051948052, 0.9888888888888889]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[20, 22, 16, 16, 112, 74, 67, 77, 90]"
